(Base) Category,(Delivery Area) Delivery Area,(Round) Round,Name,(Project) Id,(Project) Title,(Project) Description,(Project) Status,(Activity) Activity,(Approved/Not Approved Funding Details) Minister Approved Date,(Demographic Information) Target Group,(Demographic Information) Age group,Total Updated Approved Amount,(Location) Electorate,(Location) LGA,(Location) Suburb/City,(State Region) State Region,(Location) SEIFA Ranking,(Location) SEIFA Decile,Longitude,Latitude,(Location) Address Line 1,Delivery Agent Address Postcode,Delivery Agent Mailing Address Postcode
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Yaralla Golf Ltd,GPPS-GPPS07-2018-0267,Yaralla Golf Ltd,upgrade an existing fairway and construct a new driving range to support golf at Gladstone,Active,Golf,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",GLADSTONE,GLADSTONE REGIONAL,NEW AUCKLAND,Northern,906,2,151.240009,-23.874329,Hickory Avenue,4680,4680
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Beerwah Sportsground Management Committee Inc.,GPPS-GPPS07-2018-0269,Beerwah Sportsground Management Committee Inc.,install new outdoor fitness equipment to support multi-sport at Beerwah,Active,"Active Recreation,Rugby League",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$26,640.00 ",CALOUNDRA,SUNSHINE COAST REGIONAL,BEERWAH,North Coast,1017,5,152.956486,-26.864056,13 Roberts Road,4519,4519
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Bundaberg Bowls Club Inc.,GPPS-GPPS07-2018-0273,Bundaberg Bowls Club Inc.,upgrade existing amenities to support people with a disability and lawn bowls at Bundaberg,Active,Bowls - Lawn,12/12/2018,"No specific target group ,People with a Disability",All age groups and genders (i.e. general community),"$111,454.00 ",BUNDABERG,BUNDABERG REGIONAL,BUNDABERG CENTRAL,South West,816,1,152.347257,-24.864609,21 Quay Street,4670,4670
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Bribie Island Soccer Football Club Incorporated,GPPS-GPPS07-2018-0278,Bribie Island Soccer Football Club Incorporated,upgrade existing lighting to support football at Bribie Island,Active,Football,12/12/2018,No specific target group,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",PUMICESTONE,MORETON BAY REGIONAL,BONGAREE,North Coast,910,2,153.177655,-27.080733,156 206 First Avenue,4507,4507
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Burdekin Amateur Basketball Inc,GPPS-GPPS07-2018-0286,Burdekin Amateur Basketball Inc,upgrade two existing basketball courts to support multi-sport at Ayr,Active,"Basketball,Disability Sports,Futsal,Netball,Volleyball",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",BURDEKIN,BURDEKIN SHIRE,AYR,Northern,893,2,147.404196,-19.581545,10 12 Little Drysdale Street,4807,4807
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Diggers Memorial Bowls Club Inc.,GPPS-GPPS07-2018-0293,Diggers Memorial Bowls Club Inc.,upgrade an existing synthetic bowling green surface to support lawn bowls at Rockhampton,Active,Bowls - Lawn,12/12/2018,"No specific target group ,People with a Disability","All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (55 years or older),Male (0 - 17 years),Male (55 years or older)","$138,860.00 ",ROCKHAMPTON,ROCKHAMPTON REGIONAL,FRENCHVILLE,Northern,847,1,150.533271,-23.349832,350 Berserker Street,4701,4701
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Gold Coast Regional Tennis Club Incorporated,GPPS-GPPS07-2018-0294,Gold Coast Regional Tennis Club Incorporated,upgrade existing lighting and resurface courts to support tennis at Runaway Bay,Active,Tennis,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",BROADWATER,GOLD COAST CITY,RUNAWAY BAY,South Coast,1069,8,153.390798,-27.910262,Sports Drive,4216,4216
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Croydon Shire Council,GPPS-GPPS07-2018-0302,Croydon Shire Council,construct a new asphalt pump track to support multi-sport at Croydon,Active,"Active Play,BMX ,Cycling,Mountain Biking,Roller Blading,Roller Skating,Skate - Scooter Activities,Skate Boarding",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$149,838.00 ",TRAEGER,CROYDON SHIRE,CROYDON,Far North,884,2,142.244815,-18.204941,51 59 Samwell Street,4871,4871
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Rangers Football Club Inc.,GPPS-GPPS07-2018-0303,Rangers Football Club Inc.,upgrade existing lighting to support football at Mackay,Active,Football,12/12/2018,No specific target group,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$144,160.00 ",MACKAY,MACKAY REGIONAL,CREMORNE,Northern,856,1,149.185242,-21.131589,Riverside Drive,4740,4740
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Football Queensland - Wide Bay Ltd,GPPS-GPPS07-2018-0306,Football Queensland - Wide Bay Ltd,construct new fencing and team seating to support football at Hervey Bay,Active,Football,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$67,680.00 ",MARYBOROUGH,FRASER COAST REGIONAL,NIKENBAH,South West,1014,5,152.810868,-25.327334,Woods Road,4650,4650
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Cairns Mountain Bike Club Inc.,GPPS-GPPS07-2018-0310,Cairns Mountain Bike Club Inc.,construct a new clubhouse with amenities to support mountain biking at Smithfield,Active,Mountain Biking,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$118,400.00 ",BARRON RIVER,CAIRNS REGIONAL,SMITHFIELD,Far North,1006,5,145.694521,-16.820699,5l Mcgregor Road,4868,4870
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Caboolture Junior Rugby League Incorporated,GPPS-GPPS07-2018-0314,Caboolture Junior Rugby League Incorporated,construct new field and lighting to support rugby league at Caboolture,Active,Rugby League,12/12/2018,No specific target group,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$150,000.00 ",MORAYFIELD,MORETON BAY REGIONAL,CABOOLTURE,North Coast,767,1,152.946694,-27.088836,15a Riverview Street,4510,4510
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Mareeba Shire Council,GPPS-GPPS07-2018-0325,Mareeba Shire Council,upgrade the existing filtration system to support swimming at Dimbulah,Active,Swimming,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",HILL,MAREEBA SHIRE,DIMBULAH,Far North,834,1,145.105114,-17.150791,1b Raleigh Street,4880,4880
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Maraboon Power Boat And Ski Club Inc.,GPPS-GPPS07-2018-0331,Maraboon Power Boat And Ski Club Inc.,"construct a new clubhouse to support water sports at Lake Maraboon, Gindie",Active,"Active Play,Active Recreation,Power Boats,Wakeboarding,Water Skiing",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",GREGORY,CENTRAL HIGHLANDS REGIONAL,GINDIE,Northern,1041,6,148.088044,-23.660135,Fairbairn Dam Road,4720,4720
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Mundubbera Cricket Association Inc.,GPPS-GPPS07-2018-0334,Mundubbera Cricket Association Inc.,"extend the existing clubhouse to support multi-sport and active recreation at Archer Park, Mundubbera",Active,"Active Play,Active Recreation,Aerobics,Athletics,Athletics Little,Basketball,Boxing,Cricket,Football,Gymnastics,Handball,Netball,Netball - Indoor,Roller Blading,Roller Skating,Roller Sports,Rugby League,Running,Skate - Scooter Activities,Skate Boarding,Skipping,Softball,Swimming,Taekwondo,Tai Chi,Tennis,Touch,Traditional Indigenous Dance,Volleyball,Walking,Weightlifting",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$130,333.00 ",CALLIDE,NORTH BURNETT REGIONAL,MUNDUBBERA,South West,831,1,151.30166,-25.593026,Bauer Street,4626,4626
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Rackley Swim Team Inc.,GPPS-GPPS07-2018-0342,Rackley Swim Team Inc.,"upgrade existing aquatic center to install lane swim wall, covered outdoor fitness area and shed to support swimming at Spring Hill",Active,"Swimming,Weightlifting",12/12/2018,"No specific target group ,Culturally and linguistically diverse (CALD)",All age groups and genders (i.e. general community),"$125,365.00 ",McCONNEL,BRISBANE CITY,SPRING HILL,North Coast,1000,5,153.025789,-27.454868,400 Gregory Terrace,4000,4000
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Brisbane City Football Club Ltd,GPPS-GPPS07-2018-0347,Brisbane City Football Club Ltd,construct a new field to support football at Ashgrove,Active,Football,12/12/2018,No specific target group,"Female (0 - 17 years),Male (0 - 17 years)","$150,000.00 ",COOPER,BRISBANE CITY,ASHGROVE,North Coast,1093,9,153.005271,-27.437224,214 Ashgrove Avenue,4051,4051
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Cairns Stingrays Swimming Club Inc.,GPPS-GPPS07-2018-0349,Cairns Stingrays Swimming Club Inc.,construct a new multipurpose training facility to support swimming at Woree,Active,"Swimming,Water Polo",12/12/2018,No specific target group,"Female (0 - 17 years),Female (18 - 24 years),Male (0 - 17 years),Male (18 - 24 years)","$119,894.00 ",MULGRAVE,CAIRNS REGIONAL,WOREE,Far North,818,1,145.743973,-16.962935,Pool Close,4868,4870
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Centenary Plains Bmx Club Inc.,GPPS-GPPS07-2018-0354,Centenary Plains BMX Club Inc.,"upgrade an existing starting gate and mound to support BMX at Waller Park, Browns Plains",Active,"Active Recreation,BMX ,Cycling,Trail Bike Riding",12/12/2018,No specific target group,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",WOODRIDGE,LOGAN CITY,BROWNS PLAINS,South Coast,,,153.051624,-27.665274,1 45 Waller Road,4118,4118
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Surfers Paradise - Benowa Cricket Club Inc.,GPPS-GPPS07-2018-0359,Surfers Paradise - Benowa Cricket Club Inc.,upgrade existing lighting to support cricket at Benowa,Active,Cricket,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$80,795.00 ",SOUTHPORT,GOLD COAST CITY,BENOWA,South Coast,847,1,153.396136,-28.007041,119 127 St Kevins Avenue,4217,4217
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Caboolture Netball Association Inc,GPPS-GPPS07-2018-0361,Caboolture Netball Association Inc,upgrade 14 existing courts to support netball at Caboolture,Active,Netball,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",MORAYFIELD,MORETON BAY REGIONAL,CABOOLTURE,North Coast,767,1,152.946694,-27.088836,15a Riverview Street,4510,4510
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Callide Valley Tennis Association Inc,GPPS-GPPS07-2018-0364,Callide Valley Tennis Association Inc,replace two existing courts to support tennis at Biloela,Active,Tennis,12/12/2018,No specific target group,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$143,009.00 ",CALLIDE,BANANA SHIRE,BILOELA,Northern,,,150.514981,-24.395937,Rainbow Street,4715,4715
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Cooroy Golf Club Inc,GPPS-GPPS07-2018-0366,Cooroy Golf Club Inc,reconstruct three existing greens to support golf at Cooroy,Active,Golf,12/12/2018,No specific target group,All age groups and genders (i.e. general community),$0.00 ,NICKLIN,NOOSA SHIRE,COOROY,North Coast,867,1,152.911545,-26.421533,28 Myall Street,4563,4563
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Mossman And District Gymnastics Club Inc.,GPPS-GPPS07-2018-0367,Mossman And District Gymnastics Club Inc.,upgrade an existing multi-purpose facility to support multi-sport at Mossman,Active,"Acrobatics,Active Play,Active Recreation,Climbing - Indoor,Disability Sports,Gymnastics,Judo,Karate,Mixed Martial Art,Parkour,Trampolining",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$149,320.00 ",COOK,DOUGLAS SHIRE,MOSSMAN,Far North,807,1,145.374553,-16.459477,3 7 Mill Street,4873,4873
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Cairns Hockey Association Inc.,GPPS-GPPS07-2018-0376,Cairns Hockey Association Inc.,upgrade existing amenities and multi purpose activity training space to support hockey at Cairns,Active,Hockey,12/12/2018,"Aboriginal and Torres Strait Islander people,Culturally and linguistically diverse (CALD),People with a Disability","Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$143,292.00 ",CAIRNS,CAIRNS REGIONAL,CAIRNS NORTH,Far North,985,4,145.758262,-16.902196,370 Sheridan Street,4870,4870
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Bundaberg And District Table Tennis Association Inc,GPPS-GPPS07-2018-0381,Bundaberg And District Table Tennis Association Inc,replace sports flooring to support table tennis at Bundaberg,Active,Table Tennis,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$18,100.00 ",BUNDABERG,BUNDABERG REGIONAL,BRANYAN,South West,1004,5,152.312733,-24.894815,University Drive,4670,4670
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Hope Vale Aboriginal Shire Council,GPPS-GPPS07-2018-0391,Hope Vale Aboriginal Shire Council,"install a new playground, outdoor fitness stations and half court basketball to support active recreation at Hope Vale",Active,"Active Play,Active Recreation,Basketball",12/12/2018,Aboriginal and Torres Strait Islander people,All age groups and genders (i.e. general community),"$109,271.00 ",COOK,HOPE VALE ABORIGINAL SHIRE,HOPE VALE,Far North,851,1,145.190284,-15.238599,Elim Road,4895,4895
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Annerley Recreation Club Incorporated,GPPS-GPPS07-2018-0399,Annerley Recreation Club Incorporated,resurface two existing football fields to support football at Greenslopes,Active,Football,12/12/2018,"Aboriginal and Torres Strait Islander people,Culturally and linguistically diverse (CALD),People with a Disability",All age groups and genders (i.e. general community),"$150,000.00 ",GREENSLOPES,BRISBANE CITY,GREENSLOPES,South Coast,1010,5,153.04079,-27.509598,140 Ridge Street,4120,4120
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Albany Creek Excelsior Football Club Inc.,GPPS-GPPS07-2018-0411,Albany Creek Excelsior Football Club Inc.,upgrade existing lighting to support football at Brendale,Active,Football,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$81,994.00 ",EVERTON,MORETON BAY REGIONAL,BRENDALE,North Coast,,,152.966411,-27.335486,620 South Pine Road,4500,4035
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Southern Stars Baseball Club Inc.,GPPS-GPPS07-2018-0412,Southern Stars Baseball Club Inc.,upgrade existing lighting to support baseball at Regents Park,Active,"Active Recreation,Baseball,Softball",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",WOODRIDGE,LOGAN CITY,REGENTS PARK,South Coast,990,4,153.049831,-27.670256,Regency Drive,4118,4118
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Towers Kart Racing Club Inc,GPPS-GPPS07-2018-0419,Towers Kart Racing Club Inc,replace an existing section of track to support karting at Charters Towers,Active,Karting,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$42,240.00 ",TRAEGER,CHARTERS TOWERS REGIONAL,BROUGHTON,Northern,970,4,146.310378,-20.056166,34 Plum Tree Road,4820,4820
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Yuleba & District Bowls Club Inc.,GPPS-GPPS07-2018-0423,Yuleba & District Bowls Club Inc.,upgrade existing green to support bowls at Yuleba,Active,Bowls - Lawn,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",WARREGO,MARANOA REGIONAL,YULEBA,South West,1004,5,149.373499,-26.617694,Drury Street,4427,4427
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Park Ridge Panthers Inc,GPPS-GPPS07-2018-0424,Park Ridge Panthers Inc,"upgrade lighting to existing fields to support cricket and football at Hubner Park, Park Ridge",Active,"Active Play,Active Recreation,Cricket,Football",12/12/2018,No specific target group,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",LOGAN,LOGAN CITY,PARK RIDGE,South Coast,875,2,153.057495,-27.705296,160 174 Hubner Road,4125,4125
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Cook Shire Council,GPPS-GPPS07-2018-0440,Cook Shire Council,replace existing irrigation system to support multi-sport at Cooktown,Active,"Active Play,Active Recreation,Rugby League,Touch,Traditional Indigenous Games",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$107,042.00 ",COOK,COOK SHIRE,COOKTOWN,Far North,925,2,145.252775,-15.472176,19 Hogg Street,4895,4895
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Lockhart River Aboriginal Shire Council,GPPS-GPPS07-2018-0445,Lockhart River Aboriginal Shire Council,redevelop the existing football field to support multi-sport at Lockhart River,Active,"Active Play,Active Recreation,Athletics,Cricket,Rugby League,Running,Touch,Traditional Indigenous Dance,Traditional Indigenous Games",12/12/2018,"Aboriginal and Torres Strait Islander people,Aboriginal people,Torres Strait Islander people,Culturally and linguistically diverse (CALD)",All age groups and genders (i.e. general community),"$132,220.00 ",COOK,LOCKHART RIVER ABORIGINAL SHIRE,LOCKHART RIVER,Far North,595,1,143.343106,-12.782083,Maathvuy Street,4892,4870
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Sunshine Coast Regional Council,GPPS-GPPS07-2018-0449,Sunshine Coast Regional Council,construct two new change rooms and amenities to support female participation in rugby union at Maroochydore,Active,"Football,Oztag,Rugby League,Rugby Union",12/12/2018,People with a Disability,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older)","$150,000.00 ",MAROOCHYDORE,SUNSHINE COAST REGIONAL,MAROOCHYDORE,North Coast,1029,6,153.100558,-26.657827,4 Fifth Avenue,4560,4560
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,The Sunshine Coast Netball Association Incorporated,GPPS-GPPS07-2018-0451,The Sunshine Coast Netball Association Incorporated,"install new LED lighting on four courts to support netball at Maroochydore Multi Sports Complex, Maroochydore",Active,"Australian Football,Netball",12/12/2018,No specific target group,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$76,842.00 ",NINDERRY,SUNSHINE COAST REGIONAL,MAROOCHYDORE,North Coast,922,2,153.059098,-26.644892,108 Fishermans Road,4558,4560
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Gladstone Tennis & Squash Association Inc.,GPPS-GPPS07-2018-0455,Gladstone Tennis & Squash Association Inc.,"upgrade two existing tennis courts including fencing to support tennis at Rigby Park, Gladstone",Active,Tennis,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$135,876.00 ",GLADSTONE,GLADSTONE REGIONAL,GLADSTONE CENTRAL,Northern,936,3,151.255308,-23.84872,60 Tank Street,4680,4680
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Souths Junior Cricket Club Inc.,GPPS-GPPS07-2018-0457,Souths Junior Cricket Club Inc.,extend existing small cricket field to support cricket at Yeronga,Active,Cricket,12/12/2018,No specific target group,"Female (0 - 17 years),Male (0 - 17 years)","$150,000.00 ",MILLER,BRISBANE CITY,YERONGA,South Coast,1039,6,153.019389,-27.512596,178 Venner Road,4103,4103
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Wujal Wujal Aboriginal Shire Council,GPPS-GPPS07-2018-0458,Wujal Wujal Aboriginal Shire Council,construct a new asphalt pump track to support active recreation at Wujal Wujal,Active,"Active Play,Active Recreation,BMX ,Cycling,Mountain Biking,Roller Blading,Roller Skating,Skate - Scooter Activities,Skate Boarding",12/12/2018,"Aboriginal and Torres Strait Islander people,Aboriginal people,Culturally and linguistically diverse (CALD)",All age groups and genders (i.e. general community),"$138,835.00 ",COOK,WUJAL WUJAL ABORIGINAL SHIRE,WUJAL WUJAL,Far North,596,1,145.319103,-15.951505,75 Douglas Street,4895,4895
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Paroo Shire Council,GPPS-GPPS07-2018-0463,Paroo Shire Council,upgrade existing amenities and change rooms and install new shade to support multi-sport at Cunnamulla,Active,"Active Play,Active Recreation,Athletics,Australian Football,Basketball,BMX ,Bowls - Lawn,Cricket,Football,Hockey,Netball,Rugby League,Rugby Union,Running,Skate - Scooter Activities,Skate Boarding,Swimming,Tennis,Touch,Traditional Indigenous Games,Walking",12/12/2018,People with a Disability,All age groups and genders (i.e. general community),"$150,000.00 ",WARREGO,PAROO SHIRE,CUNNAMULLA,South West,838,1,145.684665,-28.071359,Louise Street,4490,4490
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Rockhampton Kart Club Inc,GPPS-GPPS07-2018-0464,Rockhampton Kart Club Inc.,upgrade an existing track to support karting at Bajool,Active,"Active Recreation,Karting",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",MIRANI,ROCKHAMPTON REGIONAL,BAJOOL,Northern,946,3,150.581011,-23.586628,12 Upper Ulam Road,4699,4701
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Toowoomba Motocross Club Ltd,GPPS-GPPS07-2018-0480,Toowoomba Motocross Club Ltd,construct new amenities to support motor cycling at Middle Ridge,Active,Motor Sport,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",TOOWOOMBA SOUTH,TOOWOOMBA REGIONAL,MIDDLE RIDGE,South West,1114,10,151.955995,-27.614491,90 Nelson Street,4350,4350
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Southport Pony & Hack Club Incorporated,GPPS-GPPS07-2018-0485,Southport Pony & Hack Club Incorporated,construct a new sand arena to support horse sports at Southport,Active,Equestrian,12/12/2018,No specific target group,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$130,800.00 ",SOUTHPORT,GOLD COAST CITY,SOUTHPORT,South Coast,885,2,153.399281,-27.967416,Baratta Street,4215,4215
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Kingaroy Senior Soccer Club Inc.,GPPS-GPPS07-2018-0487,Kingaroy Senior Soccer Club Inc.,extend the existing clubhouse to include change rooms to support football at Kingaroy,Active,"Cricket,Football",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$140,800.00 ",NANANGO,SOUTH BURNETT REGIONAL,KINGAROY,South West,809,1,151.83358,-26.548029,Youngman Street,4610,4610
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Moreton Bay Lions Australian Football Sports Club Inc.,GPPS-GPPS07-2018-0495,Moreton Bay Lions Australian Football Sports Club Inc.,"upgrade existing lighting to support Australian football at Moreton Bay Sports Complex, Caboolture",Active,Australian Football,12/12/2018,No specific target group,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$141,001.00 ",KURWONGBAH,MORETON BAY REGIONAL,BURPENGARY,North Coast,963,3,152.971512,-27.129602,1305 1395 Bruce Highway,4505,4505
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,North Lakes District Rugby League Football Club Inc,GPPS-GPPS07-2018-0506,North Lakes Districts Rugby League Football Club Inc.,"upgrade an existing field to support rugby league at Aurora Boulevard Park, North Lakes",Active,"Football,Rugby League,Softball",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",BANCROFT,MORETON BAY REGIONAL,NORTH LAKES,North Coast,1084,9,153.005464,-27.213263,22 Aurora Boulevard,4509,4509
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Whitsunday Regional Council,GPPS-GPPS07-2018-0513,Whitsunday Regional Council,upgrade an existing outdoor undercover area to a multi-sport court at Collinsville,Active,"Basketball,Netball,Volleyball",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$48,022.00 ",BURDEKIN,WHITSUNDAY REGIONAL,COLLINSVILLE,Northern,915,2,147.847913,-20.55583,11 Conway Street,4800,4800
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Georgetown Horse And Pony Club Inc,GPPS-GPPS07-2018-0517,Georgetown Horse And Pony Club Inc,upgrade two existing arenas to support horse sports at Georgetown,Active,"Barrel Racing,Campdraft,Endurance Riding,Equestrian,Horse Riding - Recreational,Polocrosse,Pony Club",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$118,580.00 ",TRAEGER,ETHERIDGE SHIRE,GEORGETOWN,Far North,940,3,143.543526,-18.296865,18 Crampton Road,4871,4871
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Mustangs Brothers Rugby League Football Club Inc.,GPPS-GPPS07-2018-0522,Mustangs Brothers Rugby League Football Club Inc.,upgrade existing fields to support rugby league at Chambers Flat,Active,"Active Play,Active Recreation,Rugby League,Touch,Walking",12/12/2018,"Aboriginal and Torres Strait Islander people,Aboriginal people,Torres Strait Islander people,Culturally and linguistically diverse (CALD),People with a Disability","Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$150,000.00 ",LOGAN,LOGAN CITY,CHAMBERS FLAT,South Coast,1001,5,153.092878,-27.75768,49 65 Kenny Road,4133,4133
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Peninsula And Districts Football And Sporting Club Incorporated,GPPS-GPPS07-2018-0525,Peninsula And Districts Football And Sporting Club Incorporated,upgrade existing lighting to support football at Kippa-Ring,Active,Football,12/12/2018,No specific target group,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",REDCLIFFE,MORETON BAY REGIONAL,KIPPA-RING,North Coast,794,1,153.094746,-27.228758,195 203 Anzac Avenue,4021,4020
