(Base) Category,(Delivery Area) Delivery Area,(Round) Round,Name,(Project) Id,(Project) Title,(Project) Description,(Project) Status,(Activity) Activity,(Approved/Not Approved Funding Details) Minister Approved Date,(Demographic Information) Age group,Total Updated Approved Amount,(Location) Electorate,(Location) LGA,(Location) Suburb/City,(State Region) State Region,(Location) SEIFA Ranking,(Location) SEIFA Decile,Longitude,Latitude,(Location) Address Line 1,Delivery Agent Address Postcode,Delivery Agent Mailing Address Postcode
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Cleveland Bowls Club Inc,GPPS-GPPS06-2017-0320,Cleveland Bowls Club Inc,upgrade ditches to support lawn bowls at Cleveland,Completed,Bowls - Lawn,27/09/2017,All age groups and genders (i.e. general community),"$68,400.00 ",OODGEROO,REDLAND CITY,CLEVELAND,South Coast,856,1,153.274872,-27.525913,164 Middle Street,4163,4163
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Greenbank Pony Club Incorporated,GPPS-GPPS06-2017-0334,Greenbank Pony Club Incorporated,construct an amenities block including electrical connection and disabled parking space to support equestrian at Greenbank,Active,Equestrian,27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",LOGAN,LOGAN CITY,GREENBANK,South Coast,954,3,153.003892,-27.72694,300 Stoney Camp Road,4124,4125
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Commercial Rowing Club Inc.,GPPS-GPPS06-2017-0358,Commercial Rowing Club Inc.,"upgrading the existing clubhouse incorporating reconfiguration of club training room, kitchen and entry area to support rowing at West End",Active,Rowing,27/09/2017,All age groups and genders (i.e. general community),"$117,529.00 ",SOUTH BRISBANE,BRISBANE CITY,WEST END,South Coast,1133,10,153.004685,-27.477346,150 Jane Street,4101,4101
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,University Of The Sunshine Coast Barbarians Rugby Club Inc.,GPPS-GPPS06-2017-0360,University Of The Sunshine Coast Barbarians Rugby Club Inc.,upgrade lighting to support rugby union at University of Sunshine Coast,Active,"Athletics Little,Football,Oztag,Rugby League,Rugby Union,Running,Traditional Indigenous Games",27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$147,730.00 ",BUDERIM,SUNSHINE COAST REGIONAL,SIPPY DOWNS,North Coast,1019,5,153.068822,-26.716012,90 Sippy Downs Drive,4556,4556
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Toowoomba Motor Cycle Club Inc.,GPPS-GPPS06-2017-0364,Toowoomba Motorcycle Club Inc,supply and install a stand-alone solar power system to support motorcycling at Toowoomba,Completed,Motorcycling,27/09/2017,All age groups and genders (i.e. general community),"$81,897.00 ",LOCKYER,LOCKYER VALLEY REGIONAL,MURPHYS CREEK,South West,1018,5,152.027941,-27.444482,Kherim Road,4352,4350
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Cairns & District Squash Rackets Association Incorporated,GPPS-GPPS06-2017-0365,Cairns & District Squash Rackets Association Incorporated,replace flooring and upgrade lighting on eight courts to support squash at Cairns,Active,Squash,27/09/2017,All age groups and genders (i.e. general community),"$129,226.00 ",CAIRNS,CAIRNS REGIONAL,MANUNDA,Far North,853,1,145.750086,-16.927195,268 Gatton Street,4870,4870
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Pine Rivers Cricket Association Inc.,GPPS-GPPS06-2017-0367,Pine Rivers Cricket Association Inc.,"upgrade clubhouse amenities, access and storage to support cricket in Dakabin",Active,Cricket,27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",MURRUMBA,MORETON BAY REGIONAL,DAKABIN,North Coast,985,4,152.978845,-27.232888,243 Marsden Road,4503,4503
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Noosa District Netball Association Inc.,GPPS-GPPS06-2017-0390,Noosa District Netball Association,upgrade three courts to support netball at Tewantin,Completed,Netball,27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years)","$150,000.00 ",NOOSA,NOOSA SHIRE,TEWANTIN,North Coast,0,0,153.025138,-26.389483,31 Butler Street,4565,4565
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Mackay Netball Association Inc.,GPPS-GPPS06-2017-0393,Mackay Netball Association Inc,install lighting to support netball at Mackay,Active,"Active Play,Active Recreation,Aerobics,Cheerleading,Netball",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",MACKAY,MACKAY REGIONAL,SOUTH MACKAY,Northern,0,0,149.184782,-21.164753,46 Casey Avenue,4740,4741
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Fernvale Campdraft Association Inc.,GPPS-GPPS06-2017-0395,Fernvale Campdraft Association Inc.,"upgrade arena, yard fencing and grandstand access/stairs to support equestrian at Fernvale",Active,"Campdraft,Endurance Riding,Equestrian,Horse Riding - Recreational,Pony Club,Rodeo",27/09/2017,All age groups and genders (i.e. general community),"$140,323.00 ",LOCKYER,SOMERSET REGIONAL,FERNVALE,South West,996,4,152.657665,-27.454912,32 Banks Creek Road,4306,4306
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Noosa Trailblazers Mountain Bike Club Inc.,GPPS-GPPS06-2017-0406,Noosa Trailblazers Mountain Bike Club Inc.,construct a trail to support mountain biking at Tewantin,Active,Mountain Biking,27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)",$0.00 ,NOOSA,NOOSA SHIRE,TEWANTIN,North Coast,0,0,153.011083,-26.409437,Cooroy Noosa Road,4567,4557
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Tennis Gold Coast Inc.,GPPS-GPPS06-2017-0411,Tennis Gold Coast Inc,upgrade 10 courts and associated facilities to support tennis at Southport,Active,Tennis,27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",SOUTHPORT,GOLD COAST CITY,SOUTHPORT,South Coast,948,3,153.417506,-27.972387,19 Queen Street,4215,4215
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Marlin Coast Swimming Club Incorporated,GPPS-GPPS06-2017-0417,Marlin Coast Swimming Club Incorporated,convert an existing space to a gym to support swimming at Cairns,Active,"Disability Sports,Life Saving Surf,Swimming,Triathlon",27/09/2017,All age groups and genders (i.e. general community),"$108,360.00 ",BARRON RIVER,CAIRNS REGIONAL,SMITHFIELD,Far North,0,0,145.696836,-16.815006,41 Leisure Park Road,4878,4878
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Silkwood Clay Target Club Inc.,GPPS-GPPS06-2017-0422,Silkwood Clay Target Club Inc.,install five new field traps to support clay target shooting at Silkwood,Active,Shooting - Sporting Clays,27/09/2017,All age groups and genders (i.e. general community),"$16,676.00 ",HILL,CASSOWARY COAST REGIONAL,SILKWOOD,Far North,864,1,146.025793,-17.74883,Silkwood Japoon Road,4856,4856
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Charters Towers Golf Club Inc,GPPS-GPPS06-2017-0423,Charters Towers Golf Club Inc,install solar pumps and irrigation and sink bore sites to support golf at Charters Towers,Active,Golf,27/09/2017,All age groups and genders (i.e. general community),"$144,666.00 ",TRAEGER,CHARTERS TOWERS REGIONAL,TOLL,Northern,960,3,146.250748,-20.054206,20 Dalrymple Road,4820,4820
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Helensvale Rugby Union Club Inc,GPPS-GPPS06-2017-0426,Helensvale Rugby Union Club Inc,construct new change-rooms and amenities to support rugby union at Helensvale,Active,Rugby Union,27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$141,000.00 ",THEODORE,GOLD COAST CITY,HELENSVALE,South Coast,1000,5,153.329137,-27.900114,Rugby Lane,4212,4212
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Mudgeeraba Nerang And Districts' Cricket Club Inc.,GPPS-GPPS06-2017-0427,Mudgeeraba Nerang And Districts' Cricket Club Inc,replace practice nets facility and upgrade lighting to support cricket at Carrara,Active,Cricket,27/09/2017,"Female (0 - 17 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$113,997.00 ",GAVEN,GOLD COAST CITY,CARRARA,South Coast,1062,8,153.358798,-28.018535,Nielsens Road,4211,4211
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Gympie Regional Cricket Association Inc.,GPPS-GPPS06-2017-0428,Gympie Regional Cricket Association Inc.,construct practice nets to support cricket at One Mile Sports Ground,Active,Cricket,27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",GYMPIE,GYMPIE REGIONAL,GYMPIE,South West,828,1,152.678277,-26.197294,84 Crescent Road,4570,4570
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Eastern Suburbs Hockey Club Inc.,GPPS-GPPS06-2017-0435,Eastern Suburbs Hockey Club Inc,replace a synthetic turf field to support hockey at Carina,Completed,"Athletics Little,Baseball,Futsal,Hockey",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",CHATSWORTH,BRISBANE CITY,CARINA,South Coast,1032,6,153.099078,-27.491335,401 Stanley Road,4152,4152
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Souths Rugby Union Club Incorporated,GPPS-GPPS06-2017-0438,Souths Rugby Union Club Incorporated,"upgrade training field, including installation of irrigation system, to support rugby union at Yeronga",Active,Rugby Union,27/09/2017,All age groups and genders (i.e. general community),"$75,798.00 ",MILLER,BRISBANE CITY,YERONGA,South Coast,0,0,153.024169,-27.519632,779 Ipswich Road,4104,4103
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Metropolitan Districts Netball Association Incorporated,GPPS-GPPS06-2017-0441,Metropolitan Districts Netball Association Incorporated,replace 12 hard court surfaces to support netball at Coorparoo,Completed,Netball,27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years)","$75,689.00 ",GREENSLOPES,BRISBANE CITY,COORPAROO,South Coast,1116,10,153.059016,-27.488803,2 Woodrow Drive,4151,4151
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Calliope Junior Rugby League Club Inc.,GPPS-GPPS06-2017-0444,Calliope Junior Rugby League Club (Inc),construct an equipment shed to support rugby league at Calliope,Active,Rugby League,27/09/2017,All age groups and genders (i.e. general community),"$111,657.00 ",CALLIDE,GLADSTONE REGIONAL,CALLIOPE,Northern,1019,5,151.19354,-24.004518,Sutherland Street,4680,4680
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Home Hill Tennis Association Inc.,GPPS-GPPS06-2017-0445,Home Hill Tennis Association Inc.,"upgrade courts surface, fencing and installation of book a court entry system to support tennis at Home Hill",Active,Tennis,27/09/2017,All age groups and genders (i.e. general community),"$127,080.00 ",BURDEKIN,BURDEKIN SHIRE,HOME HILL,Northern,903,2,147.42118,-19.671161,57-75 First Street,4806,4806
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Darling Downs Rifle Club Inc.,GPPS-GPPS06-2017-0447,Darling Downs Rifle Club Inc,"constructing a new rifle range including earthworks and fencing, electronic targets and amenities to support shooting sports at Jondaryn",Active,"Archery,Shooting,Shooting - Clay Target,Shooting - Pistol,Shooting - Rifle,Shooting - Sporting,Shooting - Sporting Clays,Shooting - Target",27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",CONDAMINE,TOOWOOMBA REGIONAL,MALU,South West,971,4,151.598338,-27.298745,Bowenville Acland Road,4404,4350
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Downey Park Netball Association Incorporated,GPPS-GPPS06-2017-0448,Downey Park Netball Association Inc,rebuild an existing netball court to support netball at Windsor,Completed,Netball,27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older)","$47,139.00 ",CLAYFIELD,BRISBANE CITY,WINDSOR,North Coast,1088,9,153.025992,-27.443125,39 Downey Street,4030,4051
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Proserpine District Lawn Tennis Association Inc.,GPPS-GPPS06-2017-0467,Proserpine District Lawn Tennis Association Inc.,resurface courts and replace fencing to support tennis at Proserpine,Active,Tennis,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",WHITSUNDAY,WHITSUNDAY REGIONAL,PROSERPINE,Northern,883,2,148.570399,-20.404997,48 Jupp Street,4800,4800
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Beaudesert Golf Club Inc,GPPS-GPPS06-2017-0474,Beaudesert Golf Club Inc,replace two bridges and construct rock barriers around foundations of a third bridge to support golf at Beaudesert.,Completed,Golf,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",SCENIC RIM,SCENIC RIM REGIONAL,BEAUDESERT,South West,896,2,153.000562,-27.99643,135 Kerry Road,4285,4285
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Proserpine Junior Cricket Association Inc.,GPPS-GPPS06-2017-0476,Proserpine Junior Cricket Association Incorporated,replace fencing damaged during cyclone to support cricket at Prosperpine,Active,Cricket,27/09/2017,All age groups and genders (i.e. general community),"$27,583.00 ",WHITSUNDAY,WHITSUNDAY REGIONAL,PROSERPINE,Northern,998,5,148.561676,-20.389857,333 Crystal Brook Road,4800,4800
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Bowen Golf Club Incorporated,GPPS-GPPS06-2017-0477,Bowen Golf Club Inc,construct a rock wall to protect the embankment from erosion to support golf at Bowen,Active,Golf,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",BURDEKIN,WHITSUNDAY REGIONAL,BOWEN,Northern,898,2,148.239131,-19.986047,Golf Links Road,4805,4805
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Tannum Sands Tennis Association Inc,GPPS-GPPS06-2017-0488,Tannum Sands Tennis Association Incorporated,construct an amenities block to support tennis at Tannum Sands,Completed,Tennis,27/09/2017,All age groups and genders (i.e. general community),"$134,988.00 ",GLADSTONE,GLADSTONE REGIONAL,TANNUM SANDS,Northern,1044,7,151.36731,-23.941783,10 Canoe Point Road,4680,4680
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Afl Townsville Inc.,GPPS-GPPS06-2017-0492,AFL Townsville Inc,upgrade irrigation to support AFL at Townsville,Active,Australian Football,27/09/2017,All age groups and genders (i.e. general community),"$80,000.00 ",MUNDINGBURRA,TOWNSVILLE CITY,ANNANDALE,Northern,0,0,146.804031,-19.311019,96 Murray Lyons Crescent,4817,4814
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Carrara Australian Football Club Inc.,GPPS-GPPS06-2017-0497,Carrara Australian Football Club Inc.,upgrade existing clubhouse facilities to support Australian football at Carrara,Active,"Australian Football,Cricket",27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$150,000.00 ",GAVEN,GOLD COAST CITY,CARRARA,South Coast,1062,8,153.358798,-28.018535,Nielsens Road,4211,4211
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Everton Park Bowls And Community Club Inc.,GPPS-GPPS06-2017-0503,Everton Park Bowls And Community Club Inc.,upgrade an existing bowling green from grass to a synthetic surface to support lawn bowls at Everton Park,Completed,Bowls - Lawn,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",EVERTON,BRISBANE CITY,EVERTON PARK,North Coast,1013,5,152.990018,-27.404389,13 Stellmach Street,4053,4053
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Caloundra Equestrian Association Inc,GPPS-GPPS06-2017-0513,Caloundra Equestrian Association Inc,construct holding yards and upgrade riding trail to support equestrian at Caloundra,Completed,Equestrian,27/09/2017,All age groups and genders (i.e. general community),"$64,500.00 ",CALOUNDRA,SUNSHINE COAST REGIONAL,BELLS CREEK,North Coast,943,3,153.076394,-26.789144,99 Pierce Avenue,4551,4551
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Hervey Bay Australian Football And Cricket Club Inc,GPPS-GPPS06-2017-0519,Hervey Bay Australian Football And Cricket Club Inc,construct two new unisex change rooms to support Australian football at Hervey Bay,Completed,"Australian Football,Cricket",27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",HERVEY BAY,FRASER COAST REGIONAL,WONDUNNA,South West,1046,7,152.864769,-25.3043,204a Boundary Road,4655,4655
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Monto Netball Association Incorporated,GPPS-GPPS06-2017-0522,Monto Netball Association Inc,replace two sealed netball courts to support Netball at Monto,Active,"Active Play,Active Recreation,Badminton,Basketball,Futsal,Handball,Netball,Roller Blading,Roller Derby,Roller Skating,Roller Sports,Skate - Scooter Activities,Skate Boarding,Skipping",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",CALLIDE,NORTH BURNETT REGIONAL,MONTO,South West,917,2,151.12436,-24.868815,5 Thomson Street,4630,4630
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Mudgeeraba Baseball Club Inc.,GPPS-GPPS06-2017-0528,Mudgeeraba Baseball Club,repair facilities to support baseball at Mudgeeraba,Active,Baseball,27/09/2017,All age groups and genders (i.e. general community),"$138,879.00 ",MUDGEERABA,GOLD COAST CITY,MUDGEERABA,South Coast,0,0,153.3616,-28.082361,Gold Coast Springbrook Road,4213,4213
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Moreton Bay Regional Council,GPPS-GPPS06-2017-0536,Moreton Bay Regional Council (ex Pine Rivers United Sports Club Inc),upgrade field lights to support football at Strathpine,Completed,Football,27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$150,000.00 ",PINE RIVERS,MORETON BAY REGIONAL,STRATHPINE,North Coast,1052,7,152.971315,-27.29869,188 Samsonvale Road,4510,4510
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Cairns Target Shooting Club Inc.,GPPS-GPPS06-2017-0537,Cairns Target Shooting Club Inc.,"construct range baffles, timber fence and block dividing wall to support target shooting at Cairns",Active,"Shooting,Shooting - Pistol,Shooting - Rifle,Shooting - Target",27/09/2017,"Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$79,280.00 ",MULGRAVE,CAIRNS REGIONAL,WRIGHTS CREEK,Far North,1066,8,145.755488,-17.043145,66 Sikh Temple Road,4869,4870
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Gladstone Amateur Basketball Association Inc.,GPPS-GPPS06-2017-0550,Gladstone Amateur Basketball Association Inc,"replace outdoor court synthetic surface and roof, construct access paths, erect fencing and install an electronic scoreboard to support basketball at Memorial Park, Gladstone",Active,Basketball,27/09/2017,All age groups and genders (i.e. general community),"$117,937.00 ",GLADSTONE,GLADSTONE REGIONAL,GLADSTONE CENTRAL,Northern,903,2,151.252141,-23.8445,Yarroon Street,4680,4680
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Isis Bowls Club Inc.,GPPS-GPPS06-2017-0557,Isis Bowls Club Inc,replace synthetic surface to a green to support lawn bowls at Childers,Completed,Bowls - Lawn,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",BURNETT,BUNDABERG REGIONAL,CHILDERS,South West,905,2,152.280272,-25.23658,2 Stewart Street,4660,4660
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Brisbane North Dirt Bike Club Inc,GPPS-GPPS06-2017-0570,Brisbane North Dirt Bike Club Inc.,construct a clubhouse to support motorcycling at Mount Binga,Active,"Active Recreation,Endurance Riding,Motor Sport,Motorcycling",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",NANANGO,TOOWOOMBA REGIONAL,MOUNT BINGA,South West,986,4,151.929618,-27.001306,Kleins Road,4306,4060
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Gladstone And District Junior Rugby League Inc.,GPPS-GPPS06-2017-0574,Gladstone And District Junior Rugby League Inc,replace turf on two fields to support rugby league at Gladstone,Completed,Rugby League,27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$63,345.00 ",GLADSTONE,GLADSTONE REGIONAL,CLINTON,Northern,975,4,151.224117,-23.880651,Harvey Road,4680,4680
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Teachers West Rugby Union Football Club Incorporated,GPPS-GPPS06-2017-0575,Teachers West Rugby Union Football Club Incorporated,extend clubhouse to include volunteer training room and overflow changerooms to support rugby union at Townsville,Active,Rugby Union,27/09/2017,All age groups and genders (i.e. general community),"$122,434.00 ",TOWNSVILLE,TOWNSVILLE CITY,CURRAJONG,Northern,948,3,146.770446,-19.279225,18 Cambridge Street,4812,4810
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Rackley Swim Team Inc.,GPPS-GPPS06-2017-0587,Rackley Swim Team Inc,purchase and install two commercial heat pumps to support swimming at Upper Mt Gravatt,Completed,Swimming,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",MANSFIELD,BRISBANE CITY,UPPER MOUNT GRAVATT,South Coast,1031,6,153.072669,-27.552884,102 Klumpp Road,4000,4000
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Mackay North Horse And Pony Club Inc,GPPS-GPPS06-2017-0597,Mackay North Horse And Pony Club Inc,resurface main arena and replace perimeter fencing and a shade sail to support pony club activities at North Mackay,Active,Pony Club,27/09/2017,All age groups and genders (i.e. general community),"$77,422.00 ",MACKAY,MACKAY REGIONAL,CREMORNE,Northern,856,1,149.180194,-21.130205,Riverside Drive,4740,4741
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Nambour Rugby Union Football Club Inc,GPPS-GPPS06-2017-0610,Nambour Rugby Union Football Club Inc,construct a storage shed to replace a shipping container to support rugby union at Woombye,Active,"Active Play,Active Recreation,Athletics,Rugby League,Rugby Union,Running,Walking",27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$90,205.00 ",NICKLIN,SUNSHINE COAST REGIONAL,WOOMBYE,North Coast,1031,6,152.95555,-26.651033,1 Laidlaw Road,4559,4559
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Koah Sports And Social Club Inc.,GPPS-GPPS06-2017-0615,Koah Sports And Social Club Inc,construct a playground to support active recreation at Koah,Active,"Active Play,Active Recreation",27/09/2017,All age groups and genders (i.e. general community),"$100,522.00 ",BARRON RIVER,MAREEBA SHIRE,KOAH,Far North,996,5,145.549988,-16.875997,322 Koah Road,4881,4881
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Roma Clay Target Club Inc,GPPS-GPPS06-2017-0622,Roma Clay Target Club Inc,install 12 traps and 17 sets of voice release systems to support Clay Target at Roma,Completed,Shooting - Clay Target,27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",WARREGO,MARANOA REGIONAL,BUNGIL,South West,1014,5,148.77317,-26.595224,Geoghegan Road,4455,4455
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Logan City Gridiron Football Club Inc.,GPPS-GPPS06-2017-0634,Logan City Gridiron Football Club,supply and install sports field lighting to two fields to support gridiron at Regents Park,Active,"Gridiron,Rugby Union",27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$150,000.00 ",ALGESTER,LOGAN CITY,REGENTS PARK,South Coast,1022,6,153.042528,-27.673904,103-115 Vansittart Road,4118,4305
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Rockhampton Bowls Club Inc,GPPS-GPPS06-2017-0638,Rockhampton Bowls Club Inc,install a lift to clubhouse to provide access for people with disabilities to support lawn bowls at Rockhampton,Completed,Bowls - Lawn,27/09/2017,All age groups and genders (i.e. general community),"$65,825.00 ",ROCKHAMPTON,ROCKHAMPTON REGIONAL,ROCKHAMPTON CITY,Northern,836,1,150.510122,-23.374023,94 Victoria Parade,4700,4701
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Proserpine Bmx Club Inc.,GPPS-GPPS06-2017-0646,Proserpine Bmx Club Inc.,install lights to support BMX at Proserpine,Active,BMX,27/09/2017,All age groups and genders (i.e. general community),"$149,888.00 ",WHITSUNDAY,WHITSUNDAY REGIONAL,PROSERPINE,Northern,930,3,148.57745,-20.40278,6 Les Stagg Drive,4800,4800
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Blackall - Tambo Regional Council,GPPS-GPPS06-2017-0648,Blackall-Tambo Regional Council,"extend a multipurpose centre for gym, yoga, netball, tennis and bowls at Tambo",Completed,"Aerobics,Calisthenics,Power Lifting,Weightlifting",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",GREGORY,BLACKALL TAMBO REGIONAL,TAMBO,South West,905,2,146.253885,-24.886878,William Street,4472,4472
